name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Car_Age,Price_category,,,,,,
Ford Ikon 1.6 ZXI NXt,2005,"₹ 20,000",25000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Ford Ikon 1.4 ZXi,2000,"₹ 22,000",42743,Petrol,Dealer,Manual,Third Owner,26,Budget,,,,,,
Maruti 800 EX,2004,"₹ 30,000",60000,Petrol,Individual,Manual,Third Owner,22,Budget,,,,,,TRUE
OpelCorsa 1.4 GL,2002,"₹ 35,000",100000,Petrol,Individual,Manual,Third Owner,24,Budget,,,,,,
Tata Nano LX SE,2012,"₹ 35,000",35000,Petrol,Individual,Manual,Third Owner,14,Budget,,,,,,
Tata Nano Std BSII,2009,"₹ 35,000",50000,Petrol,Individual,Manual,Third Owner,17,Budget,,,,,,
Maruti 800 Std,2004,"₹ 37,500",90000,Petrol,Individual,Manual,Second Owner,22,Budget,,,,,,
Tata Nano Std,2011,"₹ 40,000",19000,Petrol,Individual,Manual,First Owner,15,Budget,,,,,,
Maruti 800 AC,2004,"₹ 40,000",69111,Petrol,Individual,Manual,Third Owner,22,Budget,,,,,,
Maruti 800 EX,2001,"₹ 40,000",30000,Petrol,Individual,Manual,First Owner,25,Budget,,,,,,
Maruti 800 Std,1998,"₹ 40,000",40000,Petrol,Individual,Manual,Fourth & Above Owner,28,Budget,,,,,,
Tata Nano Lx,2010,"₹ 40,000",90000,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Maruti Zen LX,1998,"₹ 42,000",70000,Petrol,Individual,Manual,Third Owner,28,Budget,,,,,,
Maruti 800 AC BSII,2001,"₹ 43,000",100000,Petrol,Individual,Manual,Second Owner,25,Budget,,,,,,
Tata Indica DLE,2006,"₹ 45,000",120000,Diesel,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti 800 AC BSII,2001,"₹ 45,000",72539,Petrol,Individual,Manual,Second Owner,25,Budget,,,,,,
Maruti Esteem Lxi,2004,"₹ 45,000",60000,Petrol,Individual,Manual,First Owner,22,Budget,,,,,,
Tata Nano Cx BSIII,2014,"₹ 45,000",7000,Petrol,Individual,Manual,Second Owner,12,Budget,,,,,,
Maruti Omni CNG,2007,"₹ 45,000",100000,CNG,Individual,Manual,Fourth & Above Owner,19,Budget,,,,,,
Tata Nano Lx BSIV,2012,"₹ 45,000",35000,Petrol,Individual,Manual,Second Owner,14,Budget,,,,,,
Maruti 800 Std,1999,"₹ 45,000",50000,Petrol,Individual,Manual,Third Owner,27,Budget,,,,,,
Hyundai Santro LE zipPlus,2003,"₹ 48,000",50000,Petrol,Individual,Manual,Fourth & Above Owner,23,Budget,,,,,,
Maruti 800 Std,2003,"₹ 50,000",78098,Petrol,Individual,Manual,First Owner,23,Budget,,,,,,
Maruti 800 AC BSII,1992,"₹ 50,000",100000,Petrol,Individual,Manual,Fourth & Above Owner,34,Budget,,,,,,
Hyundai Santro GLS I - Euro I,1999,"₹ 50,000",120000,Petrol,Individual,Manual,Second Owner,27,Budget,,,,,,
Maruti 800 Std,1997,"₹ 50,000",80000,Petrol,Individual,Manual,Second Owner,29,Budget,,,,,,
Chevrolet Spark 1.0 LS,2008,"₹ 50,000",70000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
